Ref_Date,GEO,VIEWER,CONTENT,PROGRAMME,Vector,Coordinate,Value
2000,Canada,"Francophones, two years and older",Foreign television programmes,Social and/or recreational instruction,v21420034,1.3.3.5,0.4
2001,Canada,"Francophones, two years and older",Foreign television programmes,Social and/or recreational instruction,v21420034,1.3.3.5,0.3
2002,Canada,"Francophones, two years and older",Foreign television programmes,Social and/or recreational instruction,v21420034,1.3.3.5,0.2
2003,Canada,"Francophones, two years and older",Foreign television programmes,Social and/or recreational instruction,v21420034,1.3.3.5,0.1
2004,Canada,"Francophones, two years and older",Foreign television programmes,Social and/or recreational instruction,v21420034,1.3.3.5,0.2
1998,Canada,"Francophones, two years and older",Foreign television programmes,Religion,v21420035,1.3.3.6,0.0
1999,Canada,"Francophones, two years and older",Foreign television programmes,Religion,v21420035,1.3.3.6,0.0
2000,Canada,"Francophones, two years and older",Foreign television programmes,Religion,v21420035,1.3.3.6,0.0
2001,Canada,"Francophones, two years and older",Foreign television programmes,Religion,v21420035,1.3.3.6,0.0
2002,Canada,"Francophones, two years and older",Foreign television programmes,Religion,v21420035,1.3.3.6,0.0
2003,Canada,"Francophones, two years and older",Foreign television programmes,Religion,v21420035,1.3.3.6,0.0
2004,Canada,"Francophones, two years and older",Foreign television programmes,Religion,v21420035,1.3.3.6,0.0
1998,Canada,"Francophones, two years and older",Foreign television programmes,Sports,v21420036,1.3.3.7,0.8
1999,Canada,"Francophones, two years and older",Foreign television programmes,Sports,v21420036,1.3.3.7,1.1
2000,Canada,"Francophones, two years and older",Foreign television programmes,Sports,v21420036,1.3.3.7,1.2
2001,Canada,"Francophones, two years and older",Foreign television programmes,Sports,v21420036,1.3.3.7,1.2
2002,Canada,"Francophones, two years and older",Foreign television programmes,Sports,v21420036,1.3.3.7,0.9
2003,Canada,"Francophones, two years and older",Foreign television programmes,Sports,v21420036,1.3.3.7,1.2
2004,Canada,"Francophones, two years and older",Foreign television programmes,Sports,v21420036,1.3.3.7,1.3
1998,Canada,"Francophones, two years and older",Foreign television programmes,Variety and games,v21420037,1.3.3.8,1.9
1999,Canada,"Francophones, two years and older",Foreign television programmes,Variety and games,v21420037,1.3.3.8,2.1
2000,Canada,"Francophones, two years and older",Foreign television programmes,Variety and games,v21420037,1.3.3.8,2.7
2001,Canada,"Francophones, two years and older",Foreign television programmes,Variety and games,v21420037,1.3.3.8,2.5
2002,Canada,"Francophones, two years and older",Foreign television programmes,Variety and games,v21420037,1.3.3.8,2.1
2003,Canada,"Francophones, two years and older",Foreign television programmes,Variety and games,v21420037,1.3.3.8,2.3
2004,Canada,"Francophones, two years and older",Foreign television programmes,Variety and games,v21420037,1.3.3.8,5.7
1998,Canada,"Francophones, two years and older",Foreign television programmes,Music and dance,v21420038,1.3.3.9,0.2
1999,Canada,"Francophones, two years and older",Foreign television programmes,Music and dance,v21420038,1.3.3.9,0.3
2000,Canada,"Francophones, two years and older",Foreign television programmes,Music and dance,v21420038,1.3.3.9,0.1
2001,Canada,"Francophones, two years and older",Foreign television programmes,Music and dance,v21420038,1.3.3.9,0.3
2002,Canada,"Francophones, two years and older",Foreign television programmes,Music and dance,v21420038,1.3.3.9,0.2
2003,Canada,"Francophones, two years and older",Foreign television programmes,Music and dance,v21420038,1.3.3.9,0.2
2004,Canada,"Francophones, two years and older",Foreign television programmes,Music and dance,v21420038,1.3.3.9,0.1
1998,Canada,"Francophones, two years and older",Foreign television programmes,Comedy,v21420039,1.3.3.10,5.3
1999,Canada,"Francophones, two years and older",Foreign television programmes,Comedy,v21420039,1.3.3.10,5.3
2000,Canada,"Francophones, two years and older",Foreign television programmes,Comedy,v21420039,1.3.3.10,5.5
2001,Canada,"Francophones, two years and older",Foreign television programmes,Comedy,v21420039,1.3.3.10,5.2
2002,Canada,"Francophones, two years and older",Foreign television programmes,Comedy,v21420039,1.3.3.10,5.1
2003,Canada,"Francophones, two years and older",Foreign television programmes,Comedy,v21420039,1.3.3.10,5.1
2004,Canada,"Francophones, two years and older",Foreign television programmes,Comedy,v21420039,1.3.3.10,4.4
1998,Canada,"Francophones, two years and older",Foreign television programmes,Drama,v21420040,1.3.3.11,15.4
1999,Canada,"Francophones, two years and older",Foreign television programmes,Drama,v21420040,1.3.3.11,16.4
2000,Canada,"Francophones, two years and older",Foreign television programmes,Drama,v21420040,1.3.3.11,16.2
2001,Canada,"Francophones, two years and older",Foreign television programmes,Drama,v21420040,1.3.3.11,15.0
2002,Canada,"Francophones, two years and older",Foreign television programmes,Drama,v21420040,1.3.3.11,15.0
2003,Canada,"Francophones, two years and older",Foreign television programmes,Drama,v21420040,1.3.3.11,14.3
2004,Canada,"Francophones, two years and older",Foreign television programmes,Drama,v21420040,1.3.3.11,14.5
1998,Canada,"Francophones, two years and older",Foreign television programmes,Videocassette recorder (VCR),v21420041,1.3.3.12,4.1
1999,Canada,"Francophones, two years and older",Foreign television programmes,Videocassette recorder (VCR),v21420041,1.3.3.12,3.9
2000,Canada,"Francophones, two years and older",Foreign television programmes,Videocassette recorder (VCR),v21420041,1.3.3.12,3.1
2001,Canada,"Francophones, two years and older",Foreign television programmes,Videocassette recorder (VCR),v21420041,1.3.3.12,2.8
2002,Canada,"Francophones, two years and older",Foreign television programmes,Videocassette recorder (VCR),v21420041,1.3.3.12,3.0
2003,Canada,"Francophones, two years and older",Foreign television programmes,Videocassette recorder (VCR),v21420041,1.3.3.12,3.5
2004,Canada,"Francophones, two years and older",Foreign television programmes,Videocassette recorder (VCR),v21420041,1.3.3.12,3.7
1998,Canada,"Francophones, two years and older",Foreign television programmes,Other television programmes,v21420042,1.3.3.13,2.5
1999,Canada,"Francophones, two years and older",Foreign television programmes,Other television programmes,v21420042,1.3.3.13,2.3
2000,Canada,"Francophones, two years and older",Foreign television programmes,Other television programmes,v21420042,1.3.3.13,2.3
2001,Canada,"Francophones, two years and older",Foreign television programmes,Other television programmes,v21420042,1.3.3.13,1.3
2002,Canada,"Francophones, two years and older",Foreign television programmes,Other television programmes,v21420042,1.3.3.13,1.1
2003,Canada,"Francophones, two years and older",Foreign television programmes,Other television programmes,v21420042,1.3.3.13,1.1
2004,Canada,"Francophones, two years and older",Foreign television programmes,Other television programmes,v21420042,1.3.3.13,1.7
